name,price
گوشی موبایل نوکیا مدل (C21 (RAM2 با ظرفیت 32 گیگابایت - آبی تیره - اصلی (وی دو سل-FA),"
                                        3,099
                                   
                                "
گوشی موبایل نوکیا مدل (C21 (RAM2 با ظرفیت 32 گیگابایت - خاکستری - اصلی (وی دو سل-FA),"
                                        3,099
                                   
                                "
گوشی موبایل نوکیا مدل X20 (RAM 8) دو سیم کارت با ظرفیت 128 گیگابایت - آبی - اصلی (وی دو سل-FA),"
                                        9,299
                                   
                                "
گوشی موبایل OROD مدل 3310 دو سیم کارت-نارنجی ,"
                                        476
                                   
                                "
گوشی موبایل OROD مدل 5310 دو سیم کارت-سفید قرمز,"
                                        495
                                   
                                "
گوشی موبایل OROD مدل 5310 دو سیم کارت-مشکی قرمز,"
                                        500
                                   
                                "
گوشی موبایل OROD مدل 6700 دو سیم کارت-سفید,"
                                        539
                                   
                                "
گوشی موبایل OROD مدل 6700 دو سیم کارت-قهوه ای,"
                                        539
                                   
                                "
گوشی موبایل OROD مدل 6700 دو سیم کارت-مشکی ,"
                                        539
                                   
                                "
گوشی موبایل OROD مدل 6700 دو سیم کارت-نقره ای,"
                                        539
                                   
                                "
گوشی موبایل OROD مدلF240D تک سیم کارت-آبی,"
                                        905
                                   
                                "
گوشی موبایل ریلمی مدل (C30S (RAM 2 ظرفیت 32GB - آبی,"
                                        2,930
                                   
                                "
گوشی موبایل ریلمی مدل (C30S (RAM 2 ظرفیت 32GB - مشکی,"
                                        2,950
                                   
                                "
گوشی موبایل ریلمی مدل (C30 (RAM 3 ظرفیت 32GB - آبی,"
                                        3,050
                                   
                                "
گوشی موبایل ریلمی مدل (C30 (RAM 3 ظرفیت 32GB - سبز,"
                                        3,050
                                   
                                "
گوشی موبایل ریلمی مدل (NARZO 50A PRIME (RAM 4 ظرفیت 128GB - آبی,"
                                        5,150
                                   
                                "
گوشی موبایل ریلمی مدل (NARZO 50A PRIME (RAM 4 ظرفیت 128GB - مشکی,"
                                        5,150
                                   
                                "
گوشی موبایل ریلمی مدل (C35 (RAM 4 ظرفیت 128GB - سبز (همراه قاب و گلس هدیه),"
                                        5,949
                                   
                                "
گوشی موبایل ریلمی مدل (C35 (RAM 4 ظرفیت 128GB - مشکی (همراه قاب و گلس هدیه),"
                                        5,949
                                   
                                "
گوشی موبایل ریلمی مدل (Realme 9 5G (RAM 6 ظرفیت 128GB - سفید,"
                                        8,090
                                   
                                "
گوشی موبایل ریلمی مدل (Realme 9 5G (RAM 6 ظرفیت 128GB - مشکی,"
                                        8,129
                                   
                                "
گوشی موبایل سامسونگ مدل SM-B315E دو سیم‌ کارت - سفید,"
                                        870
                                   
                                "
گوشی موبایل سامسونگ مدل SM-B315E دو سیم‌ کارت - آبی,"
                                        918
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A03 Core (RAM2) ظرفیت 32GB - برنز,"
                                        3,189
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A03 Core (RAM2) ظرفیت 32GB - سبز,"
                                        3,209
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A03 Core (RAM2) ظرفیت 32GB-مشکی,"
                                        3,249
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A04E (RAM 3) ظرفیت 32GB - مشکی,"
                                        3,379
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A04 (RAM 3) ظرفیت 32GB - مسی,"
                                        3,609
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A04 (RAM 3) ظرفیت 32GB - مشکی,"
                                        3,629
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A03s (RAM 3) ظرفیت 32GB-آبی ,"
                                        3,950
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A03s (RAM 3) ظرفیت 32GB-مشکی,"
                                        3,980
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A03 (RAM 4) ظرفیت 64GB - قرمز,"
                                        4,100
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A04S (RAM 3) ظرفیت 32GB - مسی,"
                                        4,159
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A04S (RAM 3) ظرفیت 32GB - مشکی,"
                                        4,160
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A04S (RAM 3) ظرفیت 32GB - مسی (ویتنام),"
                                        4,169
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A04S (RAM 4) ظرفیت 64GB - مسی (ویتنام),"
                                        4,789
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A03s (RAM 4) ظرفیت 64GB-آبی,"
                                        4,949
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A03s (RAM 4) ظرفیت 64GB-مشکی,"
                                        4,959
                                   
                                "
